id,goods_code,goods_name,adjdate,adjinterval,stock
1,CF.CZC,÷£√ﬁ,2014-03-17,0.0,CF503.CZC
2,CF.CZC,÷£√ﬁ,2014-05-19,95.0,CF505.CZC
3,CF.CZC,÷£√ﬁ,2015-03-19,245.0,CF509.CZC
4,CF.CZC,÷£√ﬁ,2015-07-01,445.0,CF601.CZC
5,CF.CZC,÷£√ﬁ,2015-10-21,-290.0,CF605.CZC
6,CF.CZC,÷£√ﬁ,2016-02-02,-600.0,CF609.CZC
7,CF.CZC,÷£√ﬁ,2016-06-20,115.0,CF701.CZC
8,CF.CZC,÷£√ﬁ,2016-11-21,5.0,CF705.CZC
9,CF.CZC,÷£√ﬁ,2017-03-30,500.0,CF709.CZC
10,CF.CZC,÷£√ﬁ,2017-08-02,100.0,CF801.CZC
11,CF.CZC,÷£√ﬁ,2017-11-27,150.0,CF805.CZC
12,CF.CZC,÷£√ﬁ,2018-03-23,520.0,CF809.CZC
13,CF.CZC,÷£√ﬁ,2018-05-11,740.0,CF901.CZC
14,CF.CZC,÷£√ﬁ,2018-11-20,680.0,CF905.CZC
15,CF.CZC,÷£√ﬁ,2019-04-02,470.0,CF909.CZC
16,CF.CZC,÷£√ﬁ,2019-08-07,560.0,CF001.CZC
17,CF.CZC,÷£√ﬁ,2019-11-01,0.0,CF001.CZC
